,idx,accuracy,gmean,kappa,class_0,class_prop_0,class_1,class_prop_1,class_2,class_prop_2,class_3,class_prop_3,class_4,class_prop_4,class_5,class_prop_5,class_6,class_prop_6,class_7,class_prop_7,class_8,class_prop_8,class_9,class_prop_9,class_10,class_prop_10,class_11,class_prop_11,class_12,class_prop_12,class_13,class_prop_13,class_14,class_prop_14,drifts_alerts,local_alerts
180,90500,0.962,0.9620759352423479,0.9592085601909898,1.0,0.06938544666203239,1.0,0.0677517536721218,0.8913043478260869,0.10281548547142051,1.0,0.07100884391886211,0.9743589743589743,0.07743505641995603,1.0,0.05890430504031448,0.92,0.05624986444925087,0.9666666666666667,0.05862901035539133,0.9411764705882353,0.08780805859390091,1.0,0.07226151234869381,0.9354838709677419,0.04290898138471127,0.967741935483871,0.05503462251683351,1.0,0.050693668884768256,0.9428571428571428,0.06825650918758637,0.9024390243902439,0.0608568810941565,0,0
181,91000,0.976,0.9737996444576176,0.9742437315681703,1.0,0.039051310735562256,0.9428571428571428,0.09215602892917514,0.9354838709677419,0.06055557763555384,0.972972972972973,0.05975432500835815,0.972972972972973,0.06656431272756043,0.9615384615384616,0.059642623955747084,0.9696969696969697,0.07823180315404432,1.0,0.0886060648082433,1.0,0.06713008968825625,0.9444444444444444,0.05122207521967468,1.0,0.061866231895377106,1.0,0.04780395347057904,0.967741935483871,0.07592734817938787,0.9714285714285714,0.071203943970324,0.9714285714285714,0.08028431062215668,0,0
182,91500,0.974,0.9724949266388802,0.9720939018735725,1.0,0.043661523097975115,0.9444444444444444,0.07649252623363792,0.9354838709677419,0.06458263374348003,0.9714285714285714,0.0679440064557679,0.9743589743589743,0.09267180933762058,1.0,0.07657874341132276,0.972972972972973,0.08783801829568604,0.9642857142857143,0.04553162218405539,0.96,0.05515061571217761,1.0,0.039075563479637566,1.0,0.057045744131156886,1.0,0.05446919353866237,0.9459459459459459,0.10602323737488706,0.9473684210526315,0.0661751782204407,0.975,0.06675958478349223,0,0
183,92000,0.968,0.9653507834635148,0.9655811832328733,1.0,0.04759124186706582,0.967741935483871,0.03378319578390299,0.9696969696969697,0.050039871086048716,0.9545454545454546,0.044168536886548405,0.9696969696969697,0.0655585867481435,0.9583333333333334,0.0923157590148835,0.9459459459459459,0.09415038401253599,0.9722222222222222,0.08795669253650898,0.9714285714285714,0.07199427206436154,0.9310344827586207,0.06618537706866764,0.9777777777777777,0.10452972329996006,1.0,0.01782635581357725,1.0,0.09866001169648884,0.9428571428571428,0.05310031118588947,0.9230769230769231,0.07213968093541707,0,0
184,92500,0.964,0.9603758892647085,0.9613589623593358,0.9655172413793104,0.053863895586673906,0.9487179487179487,0.05914432107998004,0.9666666666666667,0.0738282340220856,1.0,0.0776333586682936,0.9714285714285714,0.06366815476435736,0.9302325581395349,0.08176721214671498,0.9629629629629629,0.041914276717125144,0.967741935483871,0.06651813197680728,1.0,0.079773795646092,0.9705882352941176,0.0659082762894584,0.9767441860465116,0.09566154016376921,1.0,0.04994799167483458,0.9714285714285714,0.061935842516231084,0.8214285714285714,0.06056762429616022,0.9666666666666667,0.06786734445141662,0,0
185,93000,0.96,0.9579428779398725,0.9570175325484734,1.0,0.07176159484016127,1.0,0.04603505295498819,0.926829268292683,0.09181486673384075,0.9736842105263158,0.07142749992695514,0.9523809523809523,0.03382106343275873,1.0,0.059609538117307494,0.9722222222222222,0.10369026409030173,0.9142857142857143,0.07999449671025317,0.967741935483871,0.08348404185742464,0.9090909090909091,0.07192096027890825,0.9629629629629629,0.05158431969560325,0.9117647058823529,0.05557811025188549,1.0,0.03942418137011956,0.9117647058823529,0.0691865313193931,0.975609756097561,0.0706674784200992,0,0
186,93500,0.964,0.9604745106638473,0.9613152804642165,1.0,0.035844265357614945,0.8571428571428571,0.0758820559324719,0.9285714285714286,0.03222607566639655,0.9444444444444444,0.07015860239118736,0.9705882352941176,0.07196605223115903,1.0,0.06111788026323208,1.0,0.07339781938961261,1.0,0.05907960850643095,0.9655172413793104,0.062300968579083564,0.9117647058823529,0.08934724824020028,1.0,0.05480341293609304,0.9428571428571428,0.10166900121525783,1.0,0.059823033662421345,0.96,0.0743687728731295,0.9393939393939394,0.07801520275570896,0,0
187,94000,0.972,0.9706833098580148,0.9699065814306411,1.0,0.059292026810136164,0.90625,0.08682374438460058,0.9545454545454546,0.09779754967384695,1.0,0.03941649381691468,1.0,0.05859885329569585,0.9655172413793104,0.051701304001786574,1.0,0.027881060203180832,0.96,0.05610811745401638,0.972972972972973,0.08480926634924472,0.9629629629629629,0.03591017221780954,0.9705882352941176,0.057559864906342344,0.9767441860465116,0.09654732993162093,0.9787234042553191,0.08360112475002979,0.9459459459459459,0.08150609708513974,0.9705882352941176,0.08244699511963481,0,0
188,94500,0.962,0.9568745388852976,0.9591557712895168,0.9642857142857143,0.049510923544780906,0.9714285714285714,0.07779376323813915,0.9347826086956522,0.11317510345398309,1.0,0.07583885128457665,0.9705882352941176,0.11227079163669137,0.9714285714285714,0.05526835909424916,1.0,0.06732744086192499,1.0,0.039985005529624765,0.9696969696969697,0.07222207372295883,0.9,0.06438486847174044,0.9761904761904762,0.06934512912540071,1.0,0.06826293475568967,0.92,0.03877479966953462,0.8888888888888888,0.04149253797879121,0.8974358974358975,0.05434741763191438,0,0
189,95000,0.964,0.9577116174386844,0.9613397079859276,1.0,0.06814787132928353,1.0,0.0751622734603481,0.9629629629629629,0.04697801691689916,0.9722222222222222,0.07696509241722886,1.0,0.051495258531388796,0.9583333333333334,0.032869781855716367,1.0,0.07212288681574969,0.8846153846153846,0.06084216753896215,0.9705882352941176,0.08630012063562906,0.9772727272727273,0.06317634393553,1.0,0.062169139970390905,0.9736842105263158,0.08100104345850981,0.9655172413793104,0.07598586876789602,0.9032258064516129,0.06999736825701175,0.8181818181818182,0.0767867661094557,0,0
190,95500,0.944,0.9374648537652029,0.9398739069935235,1.0,0.07098205710675569,0.975609756097561,0.10027840985173685,0.896551724137931,0.05982414315859315,1.0,0.08310493325772705,1.0,0.05210512701530388,0.9629629629629629,0.06935448986431485,0.9393939393939394,0.06910314841874404,0.9230769230769231,0.05430177518374712,0.8857142857142857,0.08989002905474233,0.9722222222222222,0.04304063271454601,0.96875,0.07391802887950036,0.9743589743589743,0.06181433799917198,0.95,0.06416214942512301,0.875,0.06600138365655842,0.7692307692307693,0.04211935441343531,0,0
191,96000,0.962,0.9571661291854996,0.9591759559272215,0.9,0.0685702245827619,0.9705882352941176,0.060806087238091826,0.9444444444444444,0.0733568630791276,0.9743589743589743,0.0808031138998993,0.9705882352941176,0.04781395063130767,1.0,0.0558299018966937,0.9743589743589743,0.1071183796241873,0.896551724137931,0.07414466151913304,0.96,0.03510790713343714,0.9583333333333334,0.048619162520896285,1.0,0.08745028610250002,0.9782608695652174,0.07408077497165741,1.0,0.06422869260194053,0.92,0.04793471902579382,0.918918918918919,0.07413527517257254,0,0
192,96500,0.966,0.9593436682173117,0.9634331536538883,1.0,0.08313973779971184,1.0,0.08089336978607484,0.9565217391304348,0.0646775855364047,0.9375,0.05980423278587582,0.9696969696969697,0.05925865046708469,0.9591836734693877,0.07482597408384672,1.0,0.05512207935113299,1.0,0.05767892206774454,1.0,0.08912489675569392,1.0,0.06510405925026688,0.9285714285714286,0.07249212344686094,0.9555555555555556,0.0974061615581395,1.0,0.05292950732597971,0.9666666666666667,0.03447671848958565,0.75,0.053065981295597316,0,0
193,97000,0.966,0.9573039427007394,0.9634410174579894,0.9696969696969697,0.0508275411705696,0.9777777777777777,0.06972377260996086,0.9666666666666667,0.07059604903634051,1.0,0.07665250670861824,1.0,0.07576619689279192,0.95,0.05302740704490844,0.9722222222222222,0.06121695411528056,1.0,0.08613238469555101,0.9666666666666667,0.06519129100193707,0.967741935483871,0.06285017551023046,0.9583333333333334,0.07455486193195791,1.0,0.07849623146554278,1.0,0.06556969693835096,0.782608695652174,0.04620584602592074,0.875,0.06318908485203883,0,0
194,97500,0.966,0.9639113103061643,0.9634984776718041,0.9722222222222222,0.0623618972059289,0.9722222222222222,0.05706664477717529,0.9736842105263158,0.0810238000440475,0.975609756097561,0.06644557978846465,0.96875,0.07885724560053829,1.0,0.05221966813689354,1.0,0.06431522136720426,0.96,0.05560765217638633,0.9666666666666667,0.07543184119711276,0.975,0.06849274575452415,0.9736842105263158,0.042045318689259766,1.0,0.099142315514193,1.0,0.08041967282458173,0.8928571428571429,0.045658966723569144,0.8421052631578947,0.07091143020012074,0,0
